Ano Declarado = 2019
Coluna;;Admitidos/Desligados
Município;Faixa Etária;Admitidos;Desligados;Total
Sp-Santa Branca;Total;1235;1063;2298
;Até 17;2;2;4
;18 a 24;242;191;433
;25 a 29;221;209;430
;30 a 39;393;359;752
;40 a 49;266;211;477
;50 a 64;106;88;194
;65 ou mais;5;3;8
Sp-Santo Antonio do Pinhal;Total;302;301;603
;Até 17;12;6;18
;18 a 24;106;85;191
;25 a 29;39;58;97
;30 a 39;85;73;158
;40 a 49;42;49;91
;50 a 64;18;30;48
Sp-Sao Jose dos Campos;Total;65829;66302;132131
;Até 17;1403;559;1962
;18 a 24;18947;15743;34690
;25 a 29;12352;12396;24748
;30 a 39;18992;20198;39190
;40 a 49;9860;11003;20863
;50 a 64;4085;5928;10013
;65 ou mais;190;475;665
Sp-Sao Luis do Paraitinga;Total;495;450;945
;Até 17;12;0;12
;18 a 24;189;122;311
;25 a 29;88;71;159
;30 a 39;114;156;270
;40 a 49;60;64;124
;50 a 64;31;32;63
;65 ou mais;1;5;6
Sp-Taubate;Total;29280;28710;57990
;Até 17;766;410;1176
;18 a 24;7792;6578;14370
;25 a 29;4962;4960;9922
;30 a 39;8473;8576;17049
;40 a 49;4965;5161;10126
;50 a 64;2267;2825;5092
;65 ou mais;55;200;255
Total;Total;157076;154396;311472
;Até 17;3628;1798;5426
;18 a 24;44191;35797;79988
;25 a 29;28417;27710;56127
;30 a 39;45161;46577;91738
;40 a 49;24692;26610;51302
;50 a 64;10567;14681;25248
;65 ou mais;420;1223;1643
Ano Declarado = 2018
Coluna;;Admitidos/Desligados
Município;Faixa Etária;Admitidos;Desligados;Total
Sp-Aparecida;Total;3536;3616;7152
;Até 17;184;77;261
;18 a 24;1104;932;2036
;25 a 29;608;674;1282
;30 a 39;883;1017;1900
;40 a 49;500;550;1050
;50 a 64;250;339;589
;65 ou mais;7;27;34
Sp-Bananal;Total;380;389;769
;Até 17;2;1;3
;18 a 24;77;73;150
;25 a 29;74;75;149
;30 a 39;94;102;196
;40 a 49;71;60;131
;50 a 64;58;72;130
;65 ou mais;4;6;10
Sp-Cachoeira Paulista;Total;1266;1301;2567
;Até 17;51;8;59
;18 a 24;358;320;678
;25 a 29;260;254;514
;30 a 39;347;374;721
;40 a 49;162;194;356
;50 a 64;85;127;212
;65 ou mais;3;24;27
Sp-Caraguatatuba;Total;8384;8470;16854
;Até 17;242;129;371
;18 a 24;2713;2354;5067
;25 a 29;1519;1522;3041
;30 a 39;2216;2423;4639
;40 a 49;1194;1339;2533
;50 a 64;483;644;1127
;65 ou mais;17;59;76
Sp-Cruzeiro;Total;4037;3344;7381
;Até 17;104;57;161
;18 a 24;1443;776;2219
;25 a 29;726;569;1295
;30 a 39;1045;1017;2062
;40 a 49;510;542;1052
;50 a 64;203;349;552
;65 ou mais;6;34;40
Sp-Guaratingueta;Total;8954;8558;17512
;Até 17;298;172;470
;18 a 24;2333;1729;4062
;25 a 29;1720;1581;3301
;30 a 39;2584;2599;5183
;40 a 49;1333;1455;2788
;50 a 64;649;915;1564
;65 ou mais;37;107;144
Sp-Jacarei;Total;16174;15219;31393
;Até 17;364;236;600
;18 a 24;3986;3112;7098
;25 a 29;2775;2646;5421
;30 a 39;5121;4788;9909
;40 a 49;2790;2797;5587
;50 a 64;1097;1536;2633
;65 ou mais;41;104;145
Sp-Lorena;Total;5133;4655;9788
;Até 17;73;30;103
;18 a 24;1404;1025;2429
;25 a 29;920;877;1797
;30 a 39;1511;1422;2933
;40 a 49;810;813;1623
;50 a 64;394;449;843
;65 ou mais;21;39;60
Sp-Natividade da Serra;Total;95;102;197
;Até 17;2;0;2
;18 a 24;22;25;47
;25 a 29;16;23;39
;30 a 39;33;18;51
;40 a 49;18;22;40
;50 a 64;4;12;16
;65 ou mais;0;2;2
Sp-Pindamonhangaba;Total;9588;9106;18694
;Até 17;120;42;162
;18 a 24;2366;1720;4086
;25 a 29;1701;1592;3293
;30 a 39;3067;3014;6081
;40 a 49;1615;1686;3301
;50 a 64;694;976;1670
;65 ou mais;25;76;101
Sp-Santa Branca;Total;441;490;931
;Até 17;8;3;11
;18 a 24;116;94;210
;25 a 29;69;83;152
;30 a 39;127;139;266
;40 a 49;79;91;170
;50 a 64;41;75;116
;65 ou mais;1;5;6
Sp-Santo Antonio do Pinhal;Total;278;253;531
;Até 17;18;4;22
;18 a 24;92;81;173
;25 a 29;52;55;107
;30 a 39;60;63;123
;40 a 49;44;34;78
;50 a 64;12;15;27
;65 ou mais;0;1;1
Sp-Sao Jose dos Campos;Total;64501;64196;128697
;Até 17;1291;644;1935
;18 a 24;18502;14761;33263
;25 a 29;12312;12395;24707
;30 a 39;18686;19985;38671
;40 a 49;9664;10479;20143
;50 a 64;3903;5527;9430
;65 ou mais;143;405;548
Sp-Sao Luis do Paraitinga;Total;496;699;1195
;Até 17;10;3;13
;18 a 24;176;229;405
;25 a 29;84;143;227
;30 a 39;123;189;312
;40 a 49;63;83;146
;50 a 64;39;49;88
;65 ou mais;1;3;4
Sp-Taubate;Total;26550;26579;53129
;Até 17;772;489;1261
;18 a 24;7405;6287;13692
;25 a 29;4672;4784;9456
;30 a 39;7567;7806;15373
;40 a 49;4222;4402;8624
;50 a 64;1853;2638;4491
;65 ou mais;59;173;232
Total;Total;149813;146977;296790
;Até 17;3539;1895;5434
;18 a 24;42097;33518;75615
;25 a 29;27508;27273;54781
;30 a 39;43464;44956;88420
;40 a 49;23075;24547;47622
;50 a 64;9765;13723;23488
;65 ou mais;365;1065;1430
Ano Declarado = Total
Coluna;;Admitidos/Desligados
Município;Faixa Etária;Admitidos;Desligados;Total
Sp-Aparecida;Total;7517;7452;14969
;Até 17;287;147;434
;18 a 24;2275;1918;4193
;25 a 29;1332;1342;2674
;30 a 39;1935;2119;4054
;40 a 49;1103;1161;2264
;50 a 64;561;712;1273
;65 ou mais;24;53;77
Sp-Bananal;Total;758;772;1530
;Até 17;2;1;3
;18 a 24;166;135;301
;25 a 29;134;146;280
;30 a 39;209;218;427
;40 a 49;145;144;289
;50 a 64;97;116;213
;65 ou mais;5;12;17
Sp-Cachoeira Paulista;Total;2420;2633;5053
;Até 17;108;36;144
;18 a 24;652;575;1227
;25 a 29;478;502;980
;30 a 39;669;734;1403
;40 a 49;352;411;763
;50 a 64;155;315;470
;65 ou mais;6;60;66
Sp-Caraguatatuba;Total;18333;17365;35698
;Até 17;499;242;741
;18 a 24;5963;4865;10828
;25 a 29;3288;3252;6540
;30 a 39;4904;4888;9792
;40 a 49;2627;2706;5333
;50 a 64;1018;1297;2315
;65 ou mais;34;115;149
Sp-Cruzeiro;Total;7624;6861;14485
;Até 17;212;104;316
;18 a 24;2619;1627;4246
;25 a 29;1369;1138;2507
;30 a 39;2005;2025;4030
;40 a 49;994;1139;2133
;50 a 64;414;756;1170
;65 ou mais;11;72;83
Sp-Guaratingueta;Total;19247;18402;37649
;Até 17;647;412;1059
;18 a 24;5114;3850;8964
;25 a 29;3606;3321;6927
;30 a 39;5577;5478;11055
;40 a 49;2917;3157;6074
;50 a 64;1321;1946;3267
;65 ou mais;65;238;303
Sp-Jacarei;Total;31331;30630;61961
;Até 17;748;470;1218
;18 a 24;7949;6389;14338
;25 a 29;5361;5162;10523
;30 a 39;9541;9547;19088
;40 a 49;5412;5739;11151
;50 a 64;2240;3110;5350
;65 ou mais;80;213;293
Sp-Lorena;Total;10100;9504;19604
;Até 17;131;54;185
;18 a 24;2833;2107;4940
;25 a 29;1889;1776;3665
;30 a 39;2903;2946;5849
;40 a 49;1573;1616;3189
;50 a 64;732;925;1657
;65 ou mais;39;80;119
Sp-Natividade da Serra;Total;174;192;366
;Até 17;3;1;4
;18 a 24;46;43;89
;25 a 29;26;37;63
;30 a 39;57;48;105
;40 a 49;33;39;72
;50 a 64;9;20;29
;65 ou mais;0;4;4
Sp-Pindamonhangaba;Total;19978;18519;38497
;Até 17;236;106;342
;18 a 24;5104;3635;8739
;25 a 29;3591;3153;6744
;30 a 39;6205;5986;12191
;40 a 49;3346;3468;6814
;50 a 64;1430;2000;3430
;65 ou mais;66;171;237
Sp-Santa Branca;Total;1676;1553;3229
;Até 17;10;5;15
;18 a 24;358;285;643
;25 a 29;290;292;582
;30 a 39;520;498;1018
;40 a 49;345;302;647
;50 a 64;147;163;310
;65 ou mais;6;8;14
Sp-Santo Antonio do Pinhal;Total;580;554;1134
;Até 17;30;10;40
;18 a 24;198;166;364
;25 a 29;91;113;204
;30 a 39;145;136;281
;40 a 49;86;83;169
;50 a 64;30;45;75
;65 ou mais;0;1;1
Sp-Sao Jose dos Campos;Total;130330;130498;260828
;Até 17;2694;1203;3897
;18 a 24;37449;30504;67953
;25 a 29;24664;24791;49455
;30 a 39;37678;40183;77861
;40 a 49;19524;21482;41006
;50 a 64;7988;11455;19443
;65 ou mais;333;880;1213
Sp-Sao Luis do Paraitinga;Total;991;1149;2140
;Até 17;22;3;25
;18 a 24;365;351;716
;25 a 29;172;214;386
;30 a 39;237;345;582
;40 a 49;123;147;270
;50 a 64;70;81;151
;65 ou mais;2;8;10
Sp-Taubate;Total;55830;55289;111119
;Até 17;1538;899;2437
;18 a 24;15197;12865;28062
;25 a 29;9634;9744;19378
;30 a 39;16040;16382;32422
;40 a 49;9187;9563;18750
;50 a 64;4120;5463;9583
;65 ou mais;114;373;487
Total;Total;306889;301373;608262
;Até 17;7167;3693;10860
;18 a 24;86288;69315;155603
;25 a 29;55925;54983;110908
;30 a 39;88625;91533;180158
;40 a 49;47767;51157;98924
;50 a 64;20332;28404;48736
;65 ou mais;785;2288;3073

Seleções vigentes
Variável;Critério;Valor
Competência Declarada;igual a;Dez/2019
;;Nov/2019
;;Out/2019
;;Set/2019
;;Ago/2019
;;Jul/2019
;;Jun/2019
;;Mai/2019
;;Abr/2019
;;Mar/2019
;;Fev/2019
;;Jan/2019
;;Dez/2018
;;Nov/2018
;;Out/2018
;;Set/2018
;;Ago/2018
;;Jul/2018
;;Jun/2018
;;Mai/2018
;;Abr/2018
;;Mar/2018
;;Fev/2018
;;Jan/2018
Município;igual a;Sp-Sao Jose dos Campos
;;Sp-Taubate
;;Sp-Jacarei
;;Sp-Caraguatatuba
;;Sp-Pindamonhangaba
;;Sp-Lorena
;;Sp-Bananal
;;Sp-Cruzeiro
;;Sp-Guaratingueta
;;Sp-Aparecida
;;Sp-Cachoeira Paulista
;;Sp-Santa Branca
;;Sp-Sao Luis do Paraitinga
;;Sp-Santo Antonio do Pinhal
;;Sp-Natividade da Serra
