Ano Declarado = 2019
Coluna;;Admitidos/Desligados
Município;Sexo;Admitidos;Desligados;Total
Sp-Sao Luis do Paraitinga;Total;496;699;1195
;Masculino;292;398;690
;Feminino;204;301;505
Sp-Taubate;Total;26550;26579;53129
;Masculino;14546;15409;29955
;Feminino;12004;11170;23174
Total;Total;149813;146977;296790
;Masculino;85390;85259;170649
;Feminino;64423;61718;126141
Ano Declarado = Total
Coluna;;Admitidos/Desligados
Município;Sexo;Admitidos;Desligados;Total
Sp-Aparecida;Total;7517;7452;14969
;Masculino;3661;3560;7221
;Feminino;3856;3892;7748
Sp-Bananal;Total;758;772;1530
;Masculino;625;619;1244
;Feminino;133;153;286
Sp-Cachoeira Paulista;Total;2420;2633;5053
;Masculino;1343;1437;2780
;Feminino;1077;1196;2273
Sp-Caraguatatuba;Total;18333;17365;35698
;Masculino;9430;9264;18694
;Feminino;8903;8101;17004
Sp-Cruzeiro;Total;7624;6861;14485
;Masculino;4646;4231;8877
;Feminino;2978;2630;5608
Sp-Guaratingueta;Total;19247;18402;37649
;Masculino;11279;10965;22244
;Feminino;7968;7437;15405
Sp-Jacarei;Total;31331;30630;61961
;Masculino;19141;18904;38045
;Feminino;12190;11726;23916
Sp-Lorena;Total;10100;9504;19604
;Masculino;5627;5364;10991
;Feminino;4473;4140;8613
Sp-Natividade da Serra;Total;174;192;366
;Masculino;143;161;304
;Feminino;31;31;62
Sp-Pindamonhangaba;Total;19978;18519;38497
;Masculino;12903;11445;24348
;Feminino;7075;7074;14149
Sp-Santa Branca;Total;1676;1553;3229
;Masculino;1005;965;1970
;Feminino;671;588;1259
Sp-Santo Antonio do Pinhal;Total;580;554;1134
;Masculino;299;287;586
;Feminino;281;267;548
Sp-Sao Jose dos Campos;Total;130330;130498;260828
;Masculino;72739;73753;146492
;Feminino;57591;56745;114336
Sp-Sao Luis do Paraitinga;Total;991;1149;2140
;Masculino;586;663;1249
;Feminino;405;486;891
Sp-Taubate;Total;55830;55289;111119
;Masculino;31672;32349;64021
;Feminino;24158;22940;47098
Total;Total;306889;301373;608262
;Masculino;175099;173967;349066
;Feminino;131790;127406;259196

Seleções vigentes
Variável;Critério;Valor
Competência Declarada;igual a;Dez/2019
;;Nov/2019
;;Out/2019
;;Set/2019
;;Ago/2019
;;Jul/2019
;;Jun/2019
;;Mai/2019
;;Abr/2019
;;Mar/2019
;;Fev/2019
;;Jan/2019
;;Dez/2018
;;Nov/2018
;;Out/2018
;;Set/2018
;;Ago/2018
;;Jul/2018
;;Jun/2018
;;Mai/2018
;;Abr/2018
;;Mar/2018
;;Fev/2018
;;Jan/2018
Município;igual a;Sp-Sao Jose dos Campos
;;Sp-Taubate
;;Sp-Jacarei
;;Sp-Caraguatatuba
;;Sp-Pindamonhangaba
;;Sp-Lorena
;;Sp-Bananal
;;Sp-Cruzeiro
;;Sp-Guaratingueta
;;Sp-Aparecida
;;Sp-Cachoeira Paulista
;;Sp-Santa Branca
;;Sp-Sao Luis do Paraitinga
;;Sp-Santo Antonio do Pinhal
;;Sp-Natividade da Serra
